,Model Name,Accuracy,Specificity,Recall,Precision,F1,False Positives,False Negatives,ROC-AUC
0,TVEC + LR,0.9654194179138452,0.9081803005008348,0.8887033945464663,0.9063564131668559,0.8974431019949425,165,200,0.8984418475236505
0,TVEC + NB,0.8833275511441683,0.9387868670005565,0.8363939899833055,0.9318040917544947,0.8815249266862171,110,294,0.887590428491931
0,CVEC + LR,0.9653462307386721,0.8631051752921536,0.9321090706733445,0.8719416970327954,0.9010220548682087,246,122,0.897607122982749
0,CVEC + NB,0.8878524197286414,0.9209794101279911,0.8530884808013356,0.9152238805970149,0.8830645161290321,142,264,0.8870339454646634
0,TVEC + RFC,0.7946280171980169,0.6087924318308292,0.9554813578185866,0.709504132231405,0.8143229784206782,703,80,0.7821368948247078
0,TVEC + SVC,0.901152583040228,0.8970506399554814,0.905954368391764,0.8979591836734694,0.9019390581717451,185,169,0.9015025041736228
0,TVEC + KNN,0.5590888962223971,0.20589872008903728,0.9649415692821369,0.5485605820942739,0.699475594997983,1427,63,0.5854201446855871
0,TVEC + DTC,0.8582408418115269,0.8402893711741792,0.894268224819143,0.8484688489968321,0.8707667298835005,287,190,0.8672787979966612
0,TVEC + GBC,0.8729104907715319,0.8202559821925431,0.9454646633277685,0.8402571711177053,0.8897617177271537,323,98,0.8828603227601558
0,CVEC + RFC,0.7925702159906207,0.6199220923761826,0.9532554257095158,0.7149415692821369,0.817076079179585,683,84,0.7865887590428493
0,CVEC + SVC,0.8748300835549839,0.8258208124652198,0.9387868670005565,0.8435,0.8885962602054254,313,110,0.8823038397328882
0,CVEC + KNN,0.5590888962223971,0.20589872008903728,0.9649415692821369,0.5485605820942739,0.699475594997983,1427,63,0.5854201446855871
0,CVEC + GBC,0.8724996262731393,0.8180300500834724,0.9488035614913745,0.8390748031496063,0.8905719509010185,327,92,0.8834168057874235
0,CVEC + DTC,0.8672892627097688,0.8469671675013912,0.895937673900946,0.8541114058355438,0.8745247148288974,275,187,0.8714524207011687
